時刻,右目x座標,右目y座標,左目x座標,左目y座標,右目瞳孔径,左目瞳孔径,右目TorF,左目TorF
42:17.2,0.099300489,0.244751796,0.075809337,0.219888493,2.937423706,2.789764404,TRUE,TRUE
42:17.2,0.101911373,0.248884246,0.079747491,0.232174113,2.932373047,2.785415649,TRUE,TRUE
42:17.2,0.101911373,0.248884246,0.079747491,0.232174113,2.932373047,2.785415649,TRUE,TRUE
42:17.2,0.101911373,0.248884246,0.079747491,0.232174113,2.932373047,2.785415649,TRUE,TRUE
42:17.3,0.101986408,0.251349896,0.080660731,0.233211875,2.920776367,2.785949707,TRUE,TRUE
42:17.3,0.101986408,0.251349896,0.080660731,0.233211875,2.920776367,2.785949707,TRUE,TRUE
42:17.3,0.101986408,0.251349896,0.080660731,0.233211875,2.920776367,2.785949707,TRUE,TRUE
42:17.3,0.101684682,0.247240946,0.081794627,0.234851673,2.916152954,2.772064209,TRUE,TRUE
42:17.3,0.101684682,0.247240946,0.081794627,0.234851673,2.916152954,2.772064209,TRUE,TRUE
42:17.3,0.101684682,0.247240946,0.081794627,0.234851673,2.916152954,2.772064209,TRUE,TRUE
42:17.3,0.101974607,0.251759678,0.082522884,0.238787815,2.90171814,2.759521484,TRUE,TRUE
42:17.3,0.101974607,0.251759678,0.082522884,0.238787815,2.90171814,2.759521484,TRUE,TRUE
42:17.3,0.101974607,0.251759678,0.082522884,0.238787815,2.90171814,2.759521484,TRUE,TRUE
42:17.3,0.100181989,0.247858241,0.08623866,0.244590372,2.889862061,2.745452881,TRUE,TRUE
42:17.3,0.100181989,0.247858241,0.08623866,0.244590372,2.889862061,2.745452881,TRUE,TRUE
42:17.3,0.100181989,0.247858241,0.08623866,0.244590372,2.889862061,2.745452881,TRUE,TRUE
42:17.3,0.10099335,0.244322151,0.087245181,0.245537266,2.900634766,2.73449707,TRUE,TRUE
42:17.3,0.10099335,0.244322151,0.087245181,0.245537266,2.900634766,2.73449707,TRUE,TRUE
42:17.3,0.10099335,0.244322151,0.087245181,0.245537266,2.900634766,2.73449707,TRUE,TRUE
42:17.3,0.104486808,0.253507227,0.088378131,0.246983051,2.892547607,2.734375,TRUE,TRUE
42:17.3,0.104486808,0.253507227,0.088378131,0.246983051,2.892547607,2.734375,TRUE,TRUE
42:17.3,0.104486808,0.253507227,0.088378131,0.246983051,2.892547607,2.734375,TRUE,TRUE
42:17.4,0.105655573,0.254262954,0.089845158,0.249223977,2.874359131,2.719848633,TRUE,TRUE
42:17.4,0.105655573,0.254262954,0.089845158,0.249223977,2.874359131,2.719848633,TRUE,TRUE
42:17.4,0.105655573,0.254262954,0.089845158,0.249223977,2.874359131,2.719848633,TRUE,TRUE
42:17.4,0.096162006,0.258142978,0.085240804,0.236824408,2.875091553,2.670547485,TRUE,TRUE
42:17.4,0.096162006,0.258142978,0.085240804,0.236824408,2.875091553,2.670547485,TRUE,TRUE
42:17.4,0.096162006,0.258142978,0.085240804,0.236824408,2.875091553,2.670547485,TRUE,TRUE
42:17.4,0.080646642,0.272557348,0.046003643,0.249169245,2.855239868,2.675750732,TRUE,TRUE
42:17.4,0.080646642,0.272557348,0.046003643,0.249169245,2.855239868,2.675750732,TRUE,TRUE
42:17.4,0.080646642,0.272557348,0.046003643,0.249169245,2.855239868,2.675750732,TRUE,TRUE
42:17.4,0.082612172,0.277291149,0.046003643,0.249169245,2.853027344,2.675750732,TRUE,TRUE
42:17.4,0.082612172,0.277291149,0.046003643,0.249169245,2.853027344,2.675750732,TRUE,TRUE
